Scheme Name,Purpose,Eligibility
Mukhyamantri Majhi Ladki Bahin Yojana,Provide monthly financial assistance to women to improve economic independence and family stability,Women aged 21–65 years residing in Maharashtra with annual family income below ₹2.5 lakh and not receiving similar benefits
Pradhan Mantri Awas Yojana (Urban),Provide affordable housing with financial subsidy for urban poor and middle-income families,Urban households belonging to EWS LIG or MIG categories without a pucca house
Pradhan Mantri Awas Yojana (Gramin),Provide permanent housing to homeless and kutcha house families in rural areas,Rural households identified under SECC data without permanent housing
Pradhan Mantri Kisan Samman Nidhi Yojana,Provide direct income support to farmers to meet agricultural and household needs,All landholding farmer families with valid land records
Ayushman Bharat Pradhan Mantri Jan Arogya Yojana,Provide cashless health insurance coverage up to ₹5 lakh per family per year,Economic weaker families identified under SECC and state health scheme lists
Mukhyamantri Yuva Karya Prashikshan Yojana,Offer skill training internships and employment-oriented experience to youth,Unemployed youth aged 18–35 years with minimum educational qualification
Mukhyamantri Vayoshri Yojana,Provide assistive devices and healthcare support to senior citizens,Seniors aged 65 years or above from economically weaker sections
Mahatma Jyotirao Phule Jan Arogya Yojana,Provide free medical treatment for serious and critical illnesses in empanelled hospitals,Low-income families holding yellow or orange ration cards
PM Surya Ghar Muft Bijli Yojana,Promote rooftop solar installations to reduce electricity bills and encourage clean energy,Residential electricity consumers willing to install rooftop solar panels
Mukhyamantri Saur Krushi Pump Yojana,Provide solar-powered irrigation pumps to reduce electricity dependency and farming costs,Farmers with agricultural land and valid water source
Namo Shetkari Maha Samman Nidhi Yojana,Provide additional financial assistance to farmers alongside PM-Kisan,Registered farmers in Maharashtra receiving PM-Kisan benefits
Shiv Bhojan Thali Yojana,Provide nutritious meals at subsidized rates to economically weaker citizens,Daily wage workers low-income individuals and migrants
Aapla Dawakhana Yojana,Provide free primary healthcare services through neighborhood clinics,All residents especially urban poor and slum dwellers
Majhi Kanya Bhagyashree Yojana,Promote education and welfare of the girl child through financial incentives,Girl children born in Maharashtra meeting income and family size norms
Jal Jeevan Mission,Ensure functional household tap water connections in rural areas,Rural households without existing tap water connections
Kisan Credit Card Scheme,Provide timely credit support for agricultural and allied activities,Farmers dairy and fisheries workers with valid land or activity proof
PM Vishwakarma Yojana,Support traditional artisans with skill training toolkits and financial assistance,Traditional craftsmen and artisans engaged in notified trades
Punyashlok Ahilyadevi Holkar Mahila Startup Yojana,Encourage women entrepreneurship through financial support and mentoring,Women entrepreneurs with registered startups in Maharashtra
Maharashtra EV Policy Incentive Scheme,Promote adoption of electric vehicles and charging infrastructure,Individuals and businesses purchasing approved electric vehicles
Indira Gandhi Matritva Sahayog Yojana,Provide financial assistance to pregnant and lactating women,Pregnant women aged 19 years and above for first two live births
Saksham Anganwadi and Poshan 2.0,Improve nutrition levels of children pregnant women and lactating mothers,Beneficiaries registered at Anganwadi centers
Manav Vikas Mission,Accelerate development in backward districts through education and health initiatives,Residents of identified backward districts in Maharashtra
Krida Prabodhini Yojana,Identify and train young sports talent for national and international competitions,Children aged 8–14 years with sports aptitude
Aam Aadmi Bima Yojana,Provide life insurance coverage to unorganized sector workers,Unorganized sector workers aged 18–59 years
Mahila Samridhi Yojana,Provide financial assistance and loans to women from marginalized communities,Women belonging to notified backward communities
Yashwantrao Chavan Mukta Vasahat Yojana,Provide housing support to nomadic and denotified tribes,Nomadic and denotified tribal families without housing
Modi Awas Gharkul Yojana,Provide housing assistance to economically weaker rural families,Rural families meeting state housing scheme criteria
Jalyukt Shivar Abhiyan,Enhance water conservation and drought mitigation in rural Maharashtra,Villages facing water scarcity and drought-prone conditions
PM Kaushal Vikas Yojana,Provide free skill training and certification for employability,Youth aged 18–45 seeking skill development
